draw_in,force_lb
6,0
8,6.5
10,13.3
12,17.3
14,21
16,24.6
18,26.05
20,27.6
22,29.65
24,31.45
26,34.1
28,36.5
29,38.1
30,39.7
31,41.5
32,43.75
33,45.8
34,48.5
