draw_in,force_lb
7,0
8,5.7
9,9.8
10,13.3
11,16.3
12,19
13,21.3
14,23.4
15,25.4
16,27.2
17,28.9
18,30.5
19,32.2
20,33.8
21,35.3
22,36.8
23,38.5
24,40
25,41.7
26,43.4
27,45.3
28,47.4
29,49.4
30,51.7
31,54
32,56.7
33,59.5
