draw_in,force_lb
7,0
8,2.5
9,6.7
10,11.2
11,15.3
12,18.8
13,22.3
14,25.2
15,28.2
16,31.1
17,33.8
18,34.9
19,35.7
20,36.4
21,37.3
22,38.1
23,39.1
24,40.2
25,41.3
26,42.5
27,43.9
28,45.2
29,46.7
30,48.5
31,50.2
32,52
33,54
34,56.2
35,58.4
